wavenumbers,absorbance
457.2025851506984,1.2076852411154775
469.3879602119579,0.7603177432666826
478.9243406946827,0.5471569598859531
493.4408309850527,0.5424001778899807
506.4738843114433,0.5887742390525972
519.7188572041167,0.5031850188717186
531.3744333496692,0.5027834486341476
544.0896073266357,0.5555534284897519
557.864379135016,0.5018707890032985
568.9901563648616,0.5440539171410776
583.2947270889488,0.4939002282272327
593.8907054030875,0.394213458948542
606.6058793800539,0.5427579404652718
619.3210533570203,0.5210366412511007
636.2746186596422,0.5715322733066301
657.0427361553541,0.4686572797175046
669.4753507106101,0.6044415627154791
681.8373254104387,0.5614492097050316
695.6120972188189,0.5609746266969893
709.7400683043371,0.34765564898024337
725.2808364984072,0.47481955754498983
745.201275728988,0.5848059949776712
758.4815685493752,0.6865079167212826
772.9627389120313,0.9839741124021515
785.3247136118599,1.2247580606098651
796.6270904802745,1.5365225905073459
810.0486630115167,2.0255742958957086
817.4658478314138,2.3020006448867747
833.3598153026219,2.6845510557527916
844.6621921710365,2.442951798274848
858.7901632565548,2.147337693204854
868.3265437392796,1.8745838865683098
885.2801090419015,1.3632024422118718
899.5846797659888,0.9583283767753343
914.9488483214898,0.7024003630930977
925.5448266356285,0.5743359636925902
944.6175876010782,0.4388851056797449
953.0943702523891,0.42440423953696893
973.2267290492526,0.42371061821752676
989.1206965204607,0.5082959128044706
1001.8358704974271,0.3659696855725869
1014.3391249081106,0.3371612801050077
1030.4450119456014,0.3536329611225426
1049.5177729110512,0.35723249070660046
1063.2925447194314,0.3354746851072008
1076.2196382626807,0.35205588528044274
1088.7228926733642,0.3345985318615874
1102.4976644817446,0.334123948853545
1113.9413210610144,0.33372967989301827
1126.8684146042635,0.3332843019931673
1139.58358858123,0.33284622537036057
1152.5106821244792,0.3324008474705096
1165.0139365351629,0.33197007212474716
1177.7291105121292,0.33153199550194046
1190.4442844890957,0.33109391887913375
1203.1594584660622,0.33065584225632705
1215.8746324430285,0.33021776563352034
1228.589806419995,0.32977968901071364
1241.3049803969614,0.35771924250972376
1254.6559130727762,0.32888163193396025
1268.854524013722,0.356770076493639
1281.5696979906884,0.3279543697490155
1291.1060784734132,0.3276258122819158
1305.9404481132074,0.4760972810281672
1318.655622090174,0.4118095366312744
1338.9999004533202,0.5473212386195101
1355.953465755942,0.8532155417713838
1368.8099194437634,1.2897881015065096
1380.1122963121782,1.942084192865785
1393.8870681205585,2.1757250583627297
1402.0106514947315,2.60820403543363
1414.019426917422,2.983793895515049
1427.5822791595194,2.808804188534886
1441.5689705341827,3.2169601780039443
1453.224546679735,3.7486391725504262
1464.8801228252878,4.356937768425809
1473.3569054765987,4.748257013025004
1479.7144924650818,4.152107742155458
1489.886631646655,3.4281277127509
1502.319246201911,3.328377665737804
1499.8468512619454,3.044686546085188
1511.5024274074979,3.5550823180403057
1517.8600143959811,2.8738001568053093
1535.2374188311687,2.5667230467718554
1546.9989547598625,2.1598082744007456
1559.8200885199703,1.569821281358692
1574.0186994609162,1.1479242884875802
1587.3696321367308,0.8452425472362961
1597.8596506677284,0.6788719978098499
1612.1642213918155,0.486830158286935
1622.7601997059542,0.44389864925187794
