 -180.00 -503698.318124
 -170.00 -503697.139177
 -160.00 -503693.614725
 -150.00 -503687.781273
 -140.00 -503679.699120
 -130.00 -503669.454822
 -120.00 -503657.163309
 -110.00 -503642.978303
 -100.00 -503627.115921
  -90.00 -503609.890518
  -80.00 -503591.823642
  -70.00 -503636.890933
  -60.00 -503651.000357
  -50.00 -503663.253948
  -40.00 -503673.475262
  -30.00 -503681.538078
  -20.00 -503687.353855
  -10.00 -503690.864749
    0.00 -503692.038416
   10.00 -503690.864986
   20.00 -503687.354009
   30.00 -503681.538084
   40.00 -503673.475482
   50.00 -503663.253755
   60.00 -503651.000293
   70.00 -503636.890657
   80.00 -503621.168465
   90.00 -503604.239118
  100.00 -503587.078800
  110.00 -503642.978270
  120.00 -503657.163722
  130.00 -503669.454701
  140.00 -503679.699118
  150.00 -503687.781104
  160.00 -503693.614771
  170.00 -503697.139240
