#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
90000,-83077.32717684424,299.28392966175346,0.9876152676497147
91000,-82997.20013825753,292.9410045647964,0.9869697388348552
92000,-83219.42025750689,305.86817524898174,0.9947953229039378
93000,-82798.14568180416,300.1331850078482,0.9810453063944728
94000,-83284.54802191572,300.7986724526038,0.9822819843716857
95000,-83271.8851213741,294.42786623698174,0.9922352306536665
96000,-83107.33214507828,301.43328331571655,0.9835021856189762
97000,-82964.9867582561,299.7223746826642,0.9795517273517222
98000,-83081.10961719719,296.0404620382201,0.9839790910173611
99000,-83252.48274463596,302.84613152260005,0.9808693412532115
100000,-82766.57603382395,298.53278749960174,0.9802822343891339
101000,-83431.17138656764,297.1873786063809,0.9900407029533597
102000,-83431.25687087048,301.27419440398404,0.9870529328868501
103000,-83601.08524213673,300.8987412753689,0.9799323430972948
104000,-83286.41058678832,300.99110319998954,0.9762290620908198
105000,-83123.34439673234,300.4510266418686,0.9904589243955053
106000,-82963.0658360357,298.2224927668899,0.9741135818464403
107000,-83321.04983282706,308.32338969263805,0.9838298547363743
108000,-83224.16901352169,304.5028124508198,0.9829846155128485
109000,-83700.12874978996,298.3142632576195,0.9838447595027972
110000,-83364.08643273596,305.9004474902474,0.9854351919446037
111000,-83278.5055217814,297.14349204388014,0.9856275876085379
112000,-83142.00994459883,301.9736344265746,0.9772284745951021
113000,-83188.47118909837,300.6430004631064,0.9827608475915967
114000,-82900.9844247158,299.44307907612796,0.989693993358743
115000,-83505.37371563492,300.9926998874261,0.9930189881231734
116000,-83137.29803340469,299.42291867925036,0.9891935200882934
117000,-83177.58037732425,297.10804696968944,0.9872547501968141
118000,-83028.1205260714,306.28079093654287,0.9826501255598503
119000,-83219.54080047063,299.83287996115223,0.992703397492541
120000,-83037.24292711407,300.60631274810913,0.9830271499274991
121000,-82937.33457032434,298.1744769159525,0.975886111844331
122000,-82782.41636074346,297.19793035852626,0.9768362412594248
123000,-83544.46113890293,305.2849110389884,0.9843393648516527
124000,-83552.38781204482,299.34708861611347,0.9749606470009029
125000,-83166.37650922308,298.41118653773185,0.991744665441941
126000,-83268.52263699286,295.7085664228282,0.9901480995188022
127000,-83359.03878567967,302.895397736053,0.9966266916543287
128000,-83585.10413928598,296.8532873926324,0.9876080306698526
129000,-83351.99887617474,295.8457583709588,0.9816392232681901
130000,-83042.80869103101,298.79155435817626,0.9851717640801926
131000,-83131.73752356577,300.05427012193263,0.9803260821613997
132000,-83325.9781992386,300.78938248183965,0.9783731712430346
133000,-83437.01646266639,304.87874940577416,0.9960490437458045
134000,-82941.01032082515,301.55269960768686,0.9754721783544549
135000,-83194.64686159458,300.2651950981594,0.984230960547261
136000,-82833.47279215168,301.4580700571258,0.9818496397199477
137000,-83290.56543408096,289.1033649187685,0.9823929597359436
138000,-83038.63565938926,304.9546778828561,0.9826288795178171
139000,-83462.1951445819,305.3069764987169,0.9931002166756256
140000,-83078.64698823978,301.4847673375686,0.9830314917668362
141000,-83336.79854023439,302.50052257887575,0.9827165436057953
142000,-83450.74762637564,300.96608747646326,0.9897259869629853
143000,-83357.19013574661,309.0653186214147,0.9796115098095809
144000,-82490.32927466836,299.8480216198825,0.9775924228734222
145000,-82801.3731188231,301.1516094011808,0.9861543889595997
146000,-83046.78808045335,306.3702252465906,0.9905453914721541
147000,-82716.31357636885,292.9732000877414,0.9740883901209799
148000,-83324.93985814741,297.6050727853768,0.9814940997492543
149000,-83224.82412296243,296.5207966295037,0.9877569349909285
150000,-82966.35911163979,297.4445221008976,0.976990927993411
151000,-83551.33709547506,303.84250513474393,0.9857928769698587
152000,-83134.91452976473,301.8912337083209,0.9832287324897402
153000,-83065.43242042919,298.3111637446488,0.9908748358430124
154000,-83540.82357765007,301.0718121753479,0.984810325286519
155000,-83182.33561675769,300.8379995300484,0.9862032186907754
156000,-83130.65543405741,303.44072187340134,0.9842390935929239
157000,-83167.9440076878,304.3076598532371,0.9798463099404159
158000,-83022.3873166712,303.24102101635464,0.9758385640799238
159000,-83466.54504385969,301.42885193252147,0.9854499275209108
160000,-83637.8937284798,293.45644868853077,0.9877521569078774
161000,-84077.70850458113,296.2433741833739,0.9835723513315738
162000,-83511.32533483021,300.2309114557789,0.9828736977071203
163000,-82875.45563448837,301.8196053587803,0.9837072735111674
164000,-82913.96906721417,308.79983803441826,0.977833811178999
165000,-83627.74658237246,299.7969947308954,0.9867176730050466
166000,-83093.78393953783,299.51800906037715,0.9862139486847809
167000,-83073.7648662809,301.6089669582068,0.9788014215954086
168000,-83572.23958483379,303.7649358330278,0.9891100158379773
169000,-83317.85770275415,301.4668791149096,0.9896232211868965
170000,-83158.95552974904,298.8987491407625,0.9780495823666703
171000,-83065.57799998636,302.28135045780357,0.979231865939235
172000,-83199.60316776962,303.17953538475354,0.9775185188336487
173000,-82981.16070799454,296.9911038633869,0.9843623115090797
174000,-82649.13082422508,298.9626491359009,0.9766523099952794
175000,-83295.37265931239,299.33750666818537,0.9877038287182254
176000,-83303.84330118925,295.79122308050773,0.9878611956668334
177000,-83043.12478381139,300.60364791610425,0.9891624957629568
178000,-83313.72098494449,301.2525641417827,0.9819781417501084
179000,-83166.64786420326,297.40411327607177,0.9813230886830255
180000,-83100.46260412084,298.53312480412376,0.9879784578564755
181000,-82902.06594040309,293.37032393197336,0.9761863466675534
182000,-83211.62913378864,300.1780000476682,0.981478540593888
183000,-83316.6239969348,301.67391555837605,0.9973987068051092
184000,-83135.41775399493,302.4526195328678,0.981003615068802
185000,-83542.63979029626,300.62181447960336,0.9872196433874401
186000,-82997.10767032037,306.79194128960836,0.9885628427067028
187000,-83059.04548839101,298.95349545007565,0.9896109688963292
188000,-83122.9932885961,302.11047135068515,0.9745929624883866
189000,-83133.47245579225,294.20352097448597,0.9799290320063331
190000,-83172.15761519305,302.28704238659606,0.9857647996187813
191000,-83337.3743747886,299.2657754090665,0.9826783470816968
192000,-83122.85730953928,303.77582071975576,0.973644585563806
193000,-82885.13088757574,300.25023092800046,0.9870128081661707
194000,-82763.95245605917,305.6810330731766,0.9695108518164112
195000,-83052.49699138239,303.54906845320903,0.9896735180735907
196000,-82913.98599063471,300.81438886609686,0.9829064689700822
197000,-83321.90869373537,299.9264664256373,0.9969780140732082
198000,-83260.27088669734,302.06124978857434,0.972510226399462
199000,-83688.48931725987,302.4244494607369,0.9903393207422492
200000,-83313.94977562805,300.7997587583332,0.9906853024245799
201000,-82718.54248415056,297.995169174285,0.9843072384483018
202000,-82984.28675987531,298.6628370614155,0.9878010818808629
203000,-83429.6726654392,304.5627344615324,0.9939817575490223
204000,-83072.81375566445,299.13035046236945,0.9795980369681214
205000,-82745.63932720968,302.64637833078893,0.9795579224226285
206000,-82808.91814709193,303.3058246429391,0.9821271818007423
207000,-83281.90938018454,305.15923399279416,0.9860901197423818
208000,-83097.90667118318,299.5051147591853,0.9808186308491885
209000,-82721.67735688202,301.0684966789664,0.9941169564790852
210000,-83421.22670942382,305.066598438876,0.9765185247117305
211000,-83163.14340934082,302.9532760236185,0.9884331747457314
212000,-83182.58120873198,301.69078693855755,0.9770725938522793
213000,-83391.49195955903,298.88288044745514,0.9952989692623873
214000,-83223.77865571389,303.41180012973086,0.9817121218360781
215000,-83243.67208384135,302.1537182692654,0.9905149069900486
216000,-83627.39228031103,297.35134441005437,0.9937315994854987
217000,-82905.46718337026,289.02086541582173,0.9744823248445952
218000,-82850.9825952748,299.64872639968,0.9754232068395947
219000,-82902.12257962278,310.3070507842401,0.9769695481667943
220000,-83236.80285532284,302.4479556237003,0.9830484126595992
221000,-83033.92565761367,310.09178362746326,0.9852828341291218
222000,-82457.88917435147,302.77452597851857,0.9749870690077407
223000,-82684.38626205124,305.8361412125076,0.9785601968614336
224000,-83375.73437089112,301.0466005210095,0.9818487825412245
225000,-83125.96668580326,287.46330758715555,0.9904949750274978
226000,-82669.59649900376,306.8635020357284,0.9790129764941604
227000,-83164.42002770747,295.89451331297255,0.9751067508086141
228000,-83034.40962246625,299.69185684489685,0.9844012489737282
229000,-83537.18690638366,295.6841599071712,0.9835031009019667
230000,-83070.11625047377,299.55430313078284,0.9818801537840802
231000,-83538.0320409254,304.5097347054602,0.9926733708285749
232000,-83308.44267574535,303.6625035219086,0.9825439542463144
233000,-83212.03752354276,301.5534921742357,0.9978744273592401
234000,-82878.77162518387,295.9890161355288,0.9799306171158085
235000,-82582.57194657606,300.0054455502017,0.9735144080070338
236000,-82843.60157520528,305.0253280930509,0.9862217911569573
237000,-82654.38585192594,297.810436537392,0.9934434668583353
238000,-82541.62189518916,301.01735177562813,0.9856254041920276
239000,-82986.01790678309,301.51919281642586,0.9857310257282179
240000,-82773.0335550516,296.61500404879234,0.9847163144200731
241000,-83781.19336285692,298.4408444890913,0.9920251557789513
242000,-83558.59013647167,299.4121018842615,0.9952903918292385
243000,-83284.76055714051,298.9933946890338,0.9861559656792623
244000,-83537.86219687265,300.38141040292453,0.9869724742003768
245000,-83531.63907179137,295.8223020871765,0.979541458050503
246000,-83230.84152529872,300.3756788369315,0.9823654911276901
247000,-82781.8178223361,304.71137203170036,0.9831594283813522
248000,-83120.70451738947,303.96410949167273,0.978061450387729
249000,-82961.18701923458,301.7694102099511,0.9856829514935893
250000,-82967.84968939336,296.70995656872475,0.9940942147615995
251000,-83670.94709392643,294.96263248149694,0.9836288619353407
252000,-83315.94385933422,302.21021637341545,0.9906601453328866
253000,-82989.90909768909,307.64732067872734,0.9831205729692565
254000,-83610.38398634485,300.36925027352817,0.9876095401826971
255000,-83654.70970676816,302.09869479831633,0.9866952752370116
256000,-83241.51095069567,296.2135444582091,0.999616222178754
257000,-83225.3444864038,301.8411287467287,0.9871279318848086
258000,-83113.84450643149,294.26639997737004,0.9807657845240271
259000,-83377.28680988966,304.50930880989864,0.9888386586288506
260000,-82693.4987337949,297.8631130864396,0.9759137821936298
261000,-83079.66637843853,301.83456606800866,0.985385064414321
262000,-83031.30066952424,302.3628169105575,0.9820843746321233
263000,-83175.28628129745,296.2364602166555,0.9900504957188433
264000,-83610.87790555868,305.13153605679224,0.986243184094769
265000,-83517.8228630331,289.7462445943791,0.9864381905710068
266000,-83496.73024485802,300.09548696754194,0.9901486250918906
267000,-83539.97715181176,301.7254895321019,0.997827070941262
268000,-83026.81185116182,296.8346755966651,0.9795442063783376
269000,-82790.33007963758,301.40655527620214,0.9959480651322119
270000,-83075.44726567867,295.03368922180806,0.9799359062517715
271000,-82825.40927904891,301.32251685786593,0.983114267196085
272000,-82987.49542269122,300.06593944902966,0.978289144571592
273000,-83034.3050644978,300.4544412998219,0.9826482279776309
274000,-83193.6066833511,300.90783699385037,0.9745054237963663
275000,-83336.72630688502,299.0921443651794,0.983715480753205
276000,-82977.29479385377,293.9304438894172,0.9817280229639113
277000,-83409.78268213634,301.6886549643706,0.9816080492269594
278000,-83294.07039530936,300.2190934306122,0.9830935674063846
279000,-83287.99127524346,296.6868574185047,0.9818537952073194
280000,-83099.03310291562,303.6196111072173,0.9775340804803565
281000,-82841.00527896849,298.44294402885913,0.9777182462077698
282000,-83274.13626210683,299.5920930003638,0.9979055195412532
283000,-83077.35945373424,297.34869328120027,0.9845799185719489
284000,-82729.75118948298,299.1243763760146,0.9871151634866672
285000,-82819.8283626,297.00970290375966,0.9802966528047237
286000,-82752.86520546564,302.3245093524293,0.97802264226128
287000,-83545.92070930201,304.066464667304,0.9905345212697009
288000,-83097.11800086481,293.2361247913074,0.993887069621686
289000,-83011.38037424366,293.74193664523375,0.9803097667399707
290000,-82917.405481947,294.94982453045543,0.9780930736607172
291000,-83268.7178568652,296.54231123743307,0.9879215345541489
292000,-83291.95402910718,300.44617429841725,0.9813518024937649
293000,-83186.49342575617,301.62496681603074,0.980483439330335
294000,-82981.15405512147,300.8611911672006,0.9840799630871958
295000,-83652.92087618378,303.009264836871,0.9970057514493837
296000,-83299.32459298219,299.0292315210286,0.994613442060351
297000,-83012.16524816368,299.1227118524967,0.9865223334055447
298000,-83248.68637448689,294.7984557957702,0.9925772040742714
299000,-83384.6778061096,303.1436897033611,0.992447826241928
300000,-82886.5146031382,298.5178323480332,0.9942864564216677
301000,-82947.60842070082,297.05291696339395,0.9883020379576615
302000,-82891.14231904829,303.52346453124085,0.9834839182105756
303000,-82667.42197878007,301.98146836576996,0.978342875140439
304000,-83007.26015052391,304.60209997197524,0.9869587693684698
305000,-82738.62666592392,298.50161476373034,0.9789343833356644
306000,-82837.53175361629,298.7261862577746,0.9804409896193721
307000,-83567.6893997261,296.2411874739166,0.9944986120842499
308000,-83087.60323306272,298.27722776405716,0.9859218058758057
309000,-82742.97626418801,297.45736038327624,0.9823929590805491
310000,-83264.27970238373,299.44653687430093,0.9898828884214639
311000,-82731.37762166199,303.19958567797903,0.9734293227524368
312000,-82822.0349756243,303.3291708931555,0.980347288963584
313000,-83453.12959839217,310.30123896905275,0.9859865689853525
314000,-83305.80154203187,303.4707991949075,0.98193981371006
315000,-83534.25423211738,297.0938564372299,0.9853895352170735
316000,-83015.71502194641,299.43911193339954,0.9851264174942603
317000,-82407.59204742534,301.4107634295164,0.9656859397059978
318000,-83218.43294296117,306.8706678126136,0.982269917768016
319000,-83157.00226280536,301.2164260566145,0.984162447868513
320000,-84178.03154719138,294.158564737288,0.9884254702491059
321000,-83586.2001925921,297.07470545588023,0.9890709916324276
322000,-83239.12470852968,294.3468960651658,0.987767348367415
323000,-83036.6910094769,294.6039252270464,0.981729942105002
324000,-83558.68839400756,292.93833179211884,0.9862905558055248
325000,-83252.91537548136,294.97458622409454,0.9855266682886403
326000,-83153.33680906764,304.5581410934949,0.9826636286399427
327000,-83323.86176478543,298.44575640070997,0.9809797434424683
328000,-83449.87223056343,299.49630082922465,0.9852760418421415
329000,-83057.15983791131,301.38013663483224,0.9800581328480066
330000,-83211.72116500238,301.50300745037754,0.9862146662323727
331000,-82873.18688561826,300.9829017053119,0.9795487321642359
332000,-83047.61522814207,299.29784431629145,0.9862552199566029
333000,-83477.46417608485,296.50076687757644,0.98189270395468
334000,-83231.18592556036,290.2899115225688,0.9833548801204067
335000,-83014.28974061663,303.4502414806927,0.9744993585075016
336000,-82951.88011136005,304.297186294843,0.9892328202960036
337000,-82879.1121347553,297.6643688918691,0.9760349258241179
338000,-83234.59999724629,301.6012561891467,0.988114978709023
339000,-83250.56998457218,295.81515219618467,0.9905882335690633
340000,-82869.06388822314,293.1818103701824,0.9779887911181597
341000,-82757.07488107699,299.7688924444819,0.9867230764913749
342000,-83257.03020971717,297.23488844277114,0.9775881318314183
343000,-83016.7216723297,294.2307129180268,0.9893251935786057
344000,-83220.6835347591,297.7828092859037,0.9905754489706924
345000,-83318.49477953574,299.09027680491926,0.9813753456034789
346000,-82937.12749933789,298.43151911262487,0.9791228050595315
347000,-83235.28336793446,297.9940006273551,0.9843331764591526
348000,-83377.31748665037,294.89980501288045,0.9946331275423967
349000,-83433.71382249286,301.9865381953945,0.9890204794538272
350000,-83378.19332511362,306.6823596662053,0.980173588657754
351000,-83364.45717413956,300.86980125152246,0.9794531885611145
352000,-82805.4590875124,301.75042772710094,0.9822501951757736
353000,-83224.1107057379,305.65003412228197,0.9972427615644729
354000,-82968.49869524012,297.484185162959,0.9918965047957335
355000,-83092.38443942781,312.51505806586147,0.9795664320672937
356000,-83036.07816932391,304.60135729741364,0.9794299940314167
357000,-82621.3150230422,301.092400954171,0.9807000691380225
358000,-83051.42276115099,307.5614984824728,0.9837892195081842
359000,-83138.01981062326,304.1906525721906,0.9765166640168992
360000,-83155.36722020415,299.0678255282902,0.9800130672879802
361000,-83252.68447633914,301.4361616713644,0.9917669028721539
362000,-83060.3943855181,301.2154364997634,0.9702019716059701
363000,-82737.86921535654,287.08468502630683,0.9760690851007241
364000,-82785.88581744628,299.7547029721063,0.9835221220166219
365000,-83392.80651968665,300.4518086699878,0.9880666463337935
366000,-83311.04362054559,301.17664541484027,0.990269435077879
367000,-83406.1966125741,303.1060580079026,0.9897819051305489
368000,-83165.8821496949,308.8572829173015,0.9854237545547443
369000,-82995.51841659978,305.2524243973771,0.9888347856240567
370000,-82990.06720396364,300.629682993051,0.9846810408802719
371000,-83606.60573474958,306.48074866290204,0.9856897680756935
372000,-83278.26567792794,291.82289439715356,0.9888238703859346
373000,-82985.75279796089,301.9416866542651,0.9817448213400685
374000,-82898.32697662315,297.029438116051,0.9734075833359846
375000,-82953.17940373463,300.7144352890945,0.9744377945796052
376000,-83168.37300697633,299.8309678316912,0.9833870969261307
377000,-83016.18995416217,292.6475904133901,0.9928248577774996
378000,-82882.3136703883,292.9384682351339,0.9871043542132775
379000,-83034.27144980268,300.466804213292,0.9892048363876376
380000,-83261.0893167893,306.1360361570743,0.9895796204226674
381000,-82949.46496845654,302.1588781665294,0.987186540909942
382000,-83037.80896262557,304.474358041943,0.9854580121837087
383000,-83141.31657649239,305.91761853904023,0.9926519471833319
384000,-82718.95999805833,299.52962113595134,0.987189380407967
385000,-83004.12977795908,302.34285332654116,0.9811874484820796
386000,-83402.17617852578,300.8299426968636,0.9817490706548277
387000,-83048.68860667729,300.6132042848287,0.9786588278533717
388000,-82880.4886072303,304.9618830857098,0.9846394103883518
389000,-82993.99517638359,305.61237579793993,0.9908507326029246
390000,-82968.6258270322,298.40894222859686,0.9839964903087163
391000,-82944.17437440396,304.3067002401166,0.9738213016870177
392000,-82826.3834129736,303.4863189221493,0.9798624934601398
393000,-83620.01443642261,299.44002291670654,0.9933176636435422
394000,-83223.13545381255,301.6625378830205,0.986042120068008
395000,-83031.88717780897,296.5580305884255,0.9870530774065637
396000,-83208.21336823102,303.6626420704032,0.9921585597994192
397000,-82758.1438810167,302.24747541704664,0.984899839323103
398000,-83216.02926957305,308.66590200295286,0.9899670045067774
399000,-82841.14020283148,303.57312501739386,0.9834065962566038
400000,-83023.51984474837,304.89589039889796,0.9859608212174186
401000,-83149.85589456279,304.782185357023,0.9782433010144008
402000,-83393.39840029838,299.24589576328015,0.9840242619769932
403000,-83424.32872169267,305.2320913333693,0.9753916481323165
404000,-82907.58629398176,303.4819443161823,0.99315157711199
405000,-83107.67916195357,301.95824200717504,0.9893032021317327
406000,-83267.03691374674,300.2464302943063,0.9874465044427907
407000,-83150.31135900388,302.57429632893866,0.9942233056044064
408000,-82770.66570638667,302.65075708724424,0.9760036563115075
409000,-82744.64485888352,308.4156629188733,0.9775304175850453
410000,-83073.22465084842,299.88836402560537,0.9934991516024023
411000,-83350.89384471328,300.40186041149485,0.9820908115392969
412000,-83415.19976346643,298.6856371436353,0.9775069306578951
413000,-83209.66732431925,303.66209864390953,0.9891176964190835
414000,-83167.68367964198,299.39329957345274,0.9926097267634203
415000,-83204.05891688209,297.14815679880945,0.9839919497840128
416000,-83084.5291734396,302.9721419803393,0.9775817549505382
417000,-82954.46268047293,306.2037951540487,0.9922993856221429
418000,-82963.69453379227,301.1087556319635,0.9848683129212398
419000,-83138.18074705807,301.95176256956324,0.9808101027609242
420000,-83798.89785277657,298.0303826445662,0.989615069475407
421000,-83144.6074403812,298.842287407022,0.9856364666983581
422000,-83263.55644147209,299.390714635778,0.9954992515894063
423000,-83101.44389363931,302.6869744127269,0.98443344413792
424000,-82790.99200325791,292.5466590941628,0.9894290613145538
425000,-83054.26604703354,305.22726659003166,0.9793525397146844
426000,-83437.40474050376,299.32500392926676,0.9883263692541429
427000,-83538.08708731935,293.9765076606967,0.9774286146044506
428000,-83238.23894135567,295.5755437052609,0.97764458201576
429000,-83404.16987209074,304.2832467795576,0.9751981425990315
430000,-82903.93855140539,301.54917201603183,0.9748298195709209
431000,-82490.04497173545,298.9395667993549,0.980771535868884
432000,-83375.40867076995,307.34392528413116,0.9815989895787044
433000,-83025.88338510331,296.13408030569127,0.9811481528417345
434000,-82911.41086535924,298.3171937759248,0.9829918956094176
435000,-83430.22382913332,301.7540082839899,0.9827120048913079
436000,-83083.13021703617,299.90569256020586,0.9865798766587579
437000,-83070.25111433398,299.3141097477336,0.9842269029140956
438000,-83311.9290620127,297.3914427769251,0.9885152148539754
439000,-83315.95315988007,300.8791819634702,0.979412912506005
440000,-83054.8112380529,300.2145816023155,0.9887776023511305
441000,-82729.65400910086,298.47975131711274,0.9853248795774464
442000,-82577.7905766769,302.5228428003407,0.9872440126080995
443000,-82744.92615589505,306.94202177112226,0.9723963662391208
444000,-83156.0828717238,303.2789364704197,0.9826268750676365
445000,-83187.74748028629,302.758501729777,0.9825797387044033
446000,-83212.13760408608,298.97022078782015,0.9917799204024424
447000,-82851.63878416177,297.75129753048907,0.9843766092927824
448000,-82912.89198871446,307.48969288580423,0.9791729860196633
449000,-83315.33788199548,306.3445673982408,0.9876909929551652
450000,-83538.68315212295,297.99206990338195,0.9986487111922686
451000,-83409.9491469083,299.52408006006374,0.9766598226410594
452000,-82787.46233545436,298.3867988275997,0.9818875444221912
453000,-82657.9610568732,299.37815458837133,0.9687988360641735
454000,-83026.22624684992,298.4296306409829,0.9813643881442782
455000,-83067.87838524574,300.9016702157151,0.9811649192155977
456000,-83652.26055722818,295.6387759259488,0.9793824337322093
457000,-83648.93673799431,292.34714347783887,0.9977374268153288
458000,-83542.8452344425,297.49619748127134,0.9752615442242119
459000,-83260.5852130662,291.3193104707589,0.9868546883614171
460000,-83730.38060262532,300.0311021825448,0.987187050270654
461000,-82943.01597970375,306.2059412992735,0.9871638648896681
462000,-83557.48090222658,299.21317221532496,0.9915021553830953
463000,-82659.86081884103,299.2527447815732,0.9763457224374988
464000,-82572.83225181978,298.4051471706009,0.9753132192268744
465000,-83406.28840957204,303.1800520874417,0.9854419084179186
466000,-82971.87702720222,296.6803031380563,0.9772669024980376
467000,-83460.73326827754,299.03351008291474,0.9749672832468708
468000,-83665.3209687001,299.4931249421859,0.9797132724262768
469000,-82565.27167602128,302.4424348190113,0.9726438638865402
470000,-83057.00000644778,298.0427005622225,0.9880276892775708
471000,-83675.59456658334,300.5147684327118,0.9902567429005906
472000,-83186.0504634307,303.7757630423997,0.9877028300186332
473000,-82947.9922394533,306.4805563858041,0.9806408896430356
474000,-83222.40499874449,302.17305505734555,0.9879517944921443
475000,-83216.33602611069,300.8360567816467,0.9833518189181017
476000,-83178.98471174552,301.22875816009565,0.9920860774224088
477000,-83034.06138076243,298.3514476278106,0.992317193344855
478000,-83337.44522214402,301.61257968335667,0.9895596934562682
479000,-82816.99878993223,291.8597624439602,0.9777713815768145
480000,-83310.69624567422,299.0739298307248,0.9908268951775677
481000,-83599.13863966306,303.1012697889882,0.9839687826799568
482000,-82899.09030462615,299.436115974914,0.9806136207832742
