#! FIELDS d file.free der_d
#! SET min_d -pi
#! SET max_d pi
#! SET nbins_d  89
#! SET periodic_d true
   -3.141592654    0.000000000    0.608836311
   -3.070995066    0.285722859    7.434914979
   -3.000397478    1.040815387   13.892057532
   -2.929799890    2.231177479   19.881180052
   -2.859202303    3.847486859   25.954816688
   -2.788604715    5.901147828   32.370191937
   -2.718007127    8.417368349   38.963942918
   -2.647409540   11.394361131   45.244608022
   -2.576811952   14.781208672   50.621495632
   -2.506214364   18.512525504   54.921840405
   -2.435616776   22.506310004   58.099643676
   -2.365019189   26.704163524   60.797299498
   -2.294421601   31.088784399   63.377542162
   -2.223824013   35.642247394   65.412754391
   -2.153226425   40.310195672   66.539461999
   -2.082628838   45.003063741   66.282863761
   -2.012031250   49.633950148   64.759299718
   -1.941433662   54.116344316   62.032060620
   -1.870836075   58.364952796   57.865813675
   -1.800238487   62.223621792   50.840508024
   -1.729640899   65.436421380   39.576639849
   -1.659043311   67.699454533   23.844469757
   -1.588445724   68.725218140    4.883418734
   -1.517848136   68.364944771  -14.896184183
   -1.447250548   66.663184329  -32.831589035
   -1.376652961   63.824405778  -46.755307172
   -1.306055373   60.170440752  -56.030196859
   -1.235457785   56.018644764  -61.005167045
   -1.164860197   51.623541428  -63.181107132
   -1.094262610   47.128930394  -63.981384460
   -1.023665022   42.595954805  -64.333400724
   -0.953067434   38.058318431  -64.048291565
   -0.882469847   33.582747922  -62.673829135
   -0.811872259   29.234129879  -60.472379943
   -0.741274671   25.047417370  -58.126917775
   -0.670677083   21.032700694  -55.612959402
   -0.600079496   17.202675818  -52.696567912
   -0.529481908   13.632582242  -48.111324193
   -0.458884320   10.455665390  -41.609891191
   -0.388286732    7.787505955  -33.995834363
   -0.317689145    5.636728215  -27.154131867
   -0.247091557    3.894546902  -22.341907995
   -0.176493969    2.466062699  -18.080537826
   -0.105896382    1.370592048  -12.592516685
   -0.035298794    0.735341600   -5.071196972
    0.035298794    0.693329645    3.925833973
    0.105896382    1.278642897   12.374143155
    0.176493969    2.399659472   18.966822495
    0.247091557    3.916521701   23.842495520
    0.317689145    5.772264474   28.918862748
    0.388286732    8.016638787   34.833397656
    0.458884320   10.702146830   41.239614443
    0.529481908   13.829760435   47.099587124
    0.600079496   17.319965049   51.561596185
    0.670677083   21.075853189   54.696436775
    0.741274671   25.025516271   56.995915466
    0.811872259   29.107423308   58.523243470
    0.882469847   33.278829373   59.657140182
    0.953067434   37.531208673   60.927477663
    1.023665022   41.885337394   62.437872242
    1.094262610   46.361024480   64.311814015
    1.164860197   50.952945289   65.685815195
    1.235457785   55.572323801   64.624009177
    1.306055373   59.975994997   59.291739465
    1.376652961   63.806500141   48.270402618
    1.447250548   66.669443495   32.064243362
    1.517848136   68.260820584   12.709895791
    1.588445724   68.437081067   -7.643890999
    1.659043311   67.231198193  -26.021742391
    1.729640899   64.849172483  -40.767223832
    1.800238487   61.571796255  -51.361395822
    1.870836075   57.685922233  -58.146428459
    1.941433662   53.437971524  -61.850981094
    2.012031250   48.999045616  -63.653611410
    2.082628838   44.477538246  -64.250478574
    2.153226425   39.945474622  -64.031401700
    2.223824013   35.461043102  -62.842632593
    2.294421601   31.085196021  -60.924767164
    2.365019189   26.866549627  -58.592405605
    2.435616776   22.802429905  -56.599169952
    2.506214364   18.874276578  -54.638674361
    2.576811952   15.108715822  -51.794037856
    2.647409540   11.598419268  -47.325036896
    2.718007127    8.474316456  -40.973046218
    2.788604715    5.835700459  -33.742604633
    2.859202303    3.707010574  -26.585832014
    2.929799890    2.070597649  -19.873228887
    3.000397478    0.899267600  -13.292224000
    3.070995066    0.203880677   -6.379091142
