#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
119000,-82939.06097213802,15666.554903055308,-67272.50606908271,301.5529252775272,0.9814999387890029
120000,-83141.10070106591,15797.036598424893,-67344.06410264102,304.06446257320897,0.9855484830135521
121000,-82852.10995488719,15659.960238425294,-67192.14971646189,301.42598987770816,0.9836983783234025
122000,-83106.5175075864,15416.960480740992,-67689.5570268454,296.7486828229746,0.9892641744285419
123000,-83162.6636578922,15944.350222136069,-67218.31343575614,306.8999841309622,0.9952231515855696
124000,-82694.76669442048,15605.567231654291,-67089.19946276619,300.3790226020095,0.9799485912470715
125000,-82844.50516633724,15431.576744270744,-67412.9284220665,297.03001953364895,0.9749914924346503
126000,-83165.46323534107,15342.49999391893,-67822.96324142214,295.31545275052247,0.9876181499923186
127000,-82901.46699245815,15943.540659786668,-66957.92633267149,306.8844015158839,0.9791131986209737
128000,-83043.86152690841,15783.664478530176,-67260.19704837824,303.80707338353926,0.9802337109361411
129000,-83140.70953624416,15659.494211713783,-67481.21532453038,301.41701970404955,0.9879169835081717
130000,-83021.75077327347,15770.269872044562,-67251.4809012289,303.54925136755213,0.9908088679554433
131000,-83267.7428541925,15777.726025651675,-67490.01682854083,303.69276887637625,0.9957043957819827
132000,-83283.6081389921,15758.723771123448,-67524.88436786865,303.32700974966895,0.9872053676203578
133000,-83292.81989424198,15628.56974589196,-67664.25014835002,300.8217795131511,0.9733988226504893
134000,-83692.96848898137,15460.027668746654,-68232.94082023471,297.5776485149821,0.98635087860088
135000,-83246.5884825124,15348.45896780258,-67898.12951470981,295.43015225002233,0.9928263500034376
136000,-84016.9031230085,15640.592111459002,-68376.3110115495,301.0531883664651,0.989930216203846
137000,-83852.28031023627,15750.427928257326,-68101.85238197894,303.1673297370942,0.9843820839772408
138000,-83477.11220055044,15527.660671512596,-67949.45152903785,298.87946183358196,0.9839007126646079
139000,-83195.55390735442,15353.515860152664,-67842.03804720176,295.52748830701876,0.9872872337106473
140000,-83149.0766874741,15476.771947458154,-67672.30474001594,297.89994567976146,0.989918742497255
141000,-83072.75645113463,15691.328402751591,-67381.42804838304,302.0297704645516,0.9801622416421734
142000,-82887.24915196444,15883.117752099177,-67004.13139986526,305.7213695232291,0.9829178893389817
143000,-82639.09786569193,15531.546108935378,-67107.55175675655,298.9542494960944,0.9772376697286452
144000,-83390.59891884838,16005.841809684876,-67384.7571091635,308.08358628344854,0.988545023808682
145000,-83360.51394231297,15816.467713252874,-67544.0462290601,304.43847648718304,0.980301084566462
146000,-83098.10587470268,15761.885518213734,-67336.22035648895,303.38786767854754,0.9806964550818262
147000,-83370.49979844387,15464.599330091965,-67905.9004683519,297.6656447503119,0.9907255739014462
148000,-83407.8784605033,15553.554660556605,-67854.3237999467,299.37787441960637,0.9860171750243866
149000,-83303.98934965156,15434.574808127712,-67869.41454152385,297.0877268555096,0.9887164612283685
150000,-83154.8617485303,15427.904669914627,-67726.95707861567,296.9593387253426,0.9895960335137425
