#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
85000,-83295.5410560022,15431.197811497492,-67864.34324450471,297.02272576121686
86000,-83699.36007083819,15594.716019419022,-68104.64405141916,300.17015633800946
87000,-83489.76026903122,15350.368140058825,-68139.3921289724,295.4669003725223
88000,-83670.71627799753,15519.079852733063,-68151.63642526447,298.7142965486641
89000,-83417.14703764126,15268.283540745266,-68148.863496896,293.8869198856566
90000,-83675.15110560553,15567.677417937666,-68107.47368766787,299.6497120270189
91000,-83269.05084337533,15512.881975647877,-67756.16886772745,298.59499859342674
92000,-83622.3509596982,15910.940491764573,-67711.41046793363,306.2569070799704
93000,-82617.08709968836,15271.771067727765,-67345.3160319606,293.9540484898752
94000,-83482.94255876914,16179.989603945287,-67302.95295482385,311.43561722546593
95000,-83037.54381741019,15629.065755171468,-67408.47806223872,300.8313267971664
96000,-83103.38440865302,15671.858258277643,-67431.52615037537,301.6550053002876
97000,-82721.53394570504,15576.579302303959,-67144.95464340108,299.82105724539963
98000,-83236.34141642193,15456.947475915775,-67779.39394050615,297.5183603585037
99000,-83066.08291961881,15612.709399960935,-67453.37351965788,300.5164964601117
100000,-82911.39581726101,15508.312262070365,-67403.08355519065,298.50703984911405
101000,-83295.22260375525,15524.813960973639,-67770.40864278161,298.8246677901083
102000,-83390.43743589887,15619.790058159357,-67770.64737773951,300.65278635957185
103000,-83090.50114075141,15659.884316357318,-67430.61682439409,301.4245285148347
104000,-83462.11590401182,15630.430356683675,-67831.68554732815,300.85759291504553
105000,-83398.8051636988,15414.248940171208,-67984.55622352759,296.6964905576114
106000,-83403.11704380618,15492.198328119703,-67910.91871568648,298.19687568407454
107000,-83388.62886065239,15683.591631960124,-67705.03722869226,301.8808515810571
108000,-83138.5878041471,15546.54856162949,-67592.03924251761,299.2430196516419
109000,-83093.05527175032,15436.289724017028,-67656.76554773329,297.120735893312
110000,-82727.14611202304,15877.437296394084,-66849.70881562895,305.6120309963238
111000,-82972.17054199305,15877.59170231456,-67094.57883967849,305.6150030318025
112000,-82881.8500261865,15902.252670291811,-66979.59735589469,306.0896821862007
113000,-82991.33852607233,15593.347599639324,-67397.990926433,300.14381672536786
114000,-82691.6404072899,15637.277817679511,-67054.36258961039,300.9893941889565
115000,-83270.14564655465,15834.409938307479,-67435.73570824717,304.7838319584199
116000,-83058.77778330911,15543.089247544296,-67515.68853576481,299.17643409481076
117000,-83224.11143417889,15695.155470661717,-67528.95596351718,302.10343461922224
118000,-82855.6723042946,15648.333614837145,-67207.33868945745,301.2021983437174
119000,-82939.06097213802,15666.554903055308,-67272.50606908271,301.5529252775272
120000,-83141.10070106591,15797.036598424893,-67344.06410264102,304.06446257320897
121000,-82852.10995488719,15659.960238425294,-67192.14971646189,301.42598987770816
122000,-83106.5175075864,15416.960480740992,-67689.5570268454,296.7486828229746
123000,-83162.6636578922,15944.350222136069,-67218.31343575614,306.8999841309622
124000,-82694.76669442048,15605.567231654291,-67089.19946276619,300.3790226020095
125000,-82844.50516633724,15431.576744270744,-67412.9284220665,297.03001953364895
126000,-83165.46323534107,15342.49999391893,-67822.96324142214,295.31545275052247
127000,-82901.46699245815,15943.540659786668,-66957.92633267149,306.8844015158839
128000,-83043.86152690841,15783.664478530176,-67260.19704837824,303.80707338353926
129000,-83140.70953624416,15659.494211713783,-67481.21532453038,301.41701970404955
130000,-83021.75077327347,15770.269872044562,-67251.4809012289,303.54925136755213
131000,-83267.7428541925,15777.726025651675,-67490.01682854083,303.69276887637625
132000,-83283.6081389921,15758.723771123448,-67524.88436786865,303.32700974966895
133000,-83292.81989424198,15628.56974589196,-67664.25014835002,300.8217795131511
134000,-83692.96848898137,15460.027668746654,-68232.94082023471,297.5776485149821
135000,-83246.5884825124,15348.45896780258,-67898.12951470981,295.43015225002233
136000,-84016.9031230085,15640.592111459002,-68376.3110115495,301.0531883664651
137000,-83852.28031023627,15750.427928257326,-68101.85238197894,303.1673297370942
138000,-83477.11220055044,15527.660671512596,-67949.45152903785,298.87946183358196
139000,-83195.55390735442,15353.515860152664,-67842.03804720176,295.52748830701876
140000,-83149.0766874741,15476.771947458154,-67672.30474001594,297.89994567976146
141000,-83072.75645113463,15691.328402751591,-67381.42804838304,302.0297704645516
142000,-82887.24915196444,15883.117752099177,-67004.13139986526,305.7213695232291
143000,-82639.09786569193,15531.546108935378,-67107.55175675655,298.9542494960944
144000,-83390.59891884838,16005.841809684876,-67384.7571091635,308.08358628344854
145000,-83360.51394231297,15816.467713252874,-67544.0462290601,304.43847648718304
146000,-83098.10587470268,15761.885518213734,-67336.22035648895,303.38786767854754
147000,-83370.49979844387,15464.599330091965,-67905.9004683519,297.6656447503119
148000,-83407.8784605033,15553.554660556605,-67854.3237999467,299.37787441960637
149000,-83303.98934965156,15434.574808127712,-67869.41454152385,297.0877268555096
150000,-83154.8617485303,15427.904669914627,-67726.95707861567,296.9593387253426
